ID,Statistical Division or Subdivision,LGA,Offence category,Subcategory,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
257,Eastern Suburbs,Randwick,Sexual offences,"Indecent assault, act of indecency and other sexual offences",73,59,68,77,71,65,51,76,63,65,74
258,Eastern Suburbs,Randwick,Abduction and kidnapping,,7,6,3,5,5,9,3,3,1,7,0
259,Eastern Suburbs,Randwick,Robbery,Robbery without a weapon,185,206,205,137,126,157,139,89,89,99,61
260,Eastern Suburbs,Randwick,Robbery,Robbery with a firearm,24,14,15,12,14,15,12,8,4,12,4
261,Eastern Suburbs,Randwick,Robbery,Robbery with a weapon not a firearm,108,72,71,76,74,64,59,43,22,40,22
262,Eastern Suburbs,Randwick,Blackmail and extortion,,1,0,0,3,2,1,0,2,2,3,1
263,Eastern Suburbs,Randwick,"Harassment, threatening behaviour and private nuisance",,310,311,285,331,289,323,304,341,283,280,290
264,Eastern Suburbs,Randwick,Other offences against the person,,21,20,21,20,19,22,15,20,21,6,11
265,Eastern Suburbs,Randwick,Theft,Break and enter dwelling,1959,1765,1527,1220,1029,1084,930,807,773,753,778
266,Eastern Suburbs,Randwick,Theft,Break and enter non-dwelling,599,401,315,267,265,232,186,166,104,134,96
267,Eastern Suburbs,Randwick,Theft,Receiving or handling stolen goods,96,110,140,75,55,55,79,68,68,93,78
268,Eastern Suburbs,Randwick,Theft,Motor vehicle theft,973,750,836,504,538,736,514,388,374,424,288
269,Eastern Suburbs,Randwick,Theft,Steal from motor vehicle,1507,1337,1462,970,910,1091,1053,828,729,931,827
270,Eastern Suburbs,Randwick,Theft,Steal from retail store,200,240,151,131,192,160,198,156,189,195,228
271,Eastern Suburbs,Randwick,Theft,Steal from dwelling,532,470,371,362,340,351,369,314,265,317,369
272,Eastern Suburbs,Randwick,Theft,Steal from person,398,356,346,223,232,197,185,168,142,179,128
273,Eastern Suburbs,Randwick,Theft,Stock theft,0,0,1,2,0,0,1,0,0,0,0
274,Eastern Suburbs,Randwick,Theft,Fraud,603,604,616,561,565,608,840,742,753,773,782
275,Eastern Suburbs,Randwick,Theft,Other theft,1227,1125,866,789,675,700,705,622,617,718,606
276,Eastern Suburbs,Randwick,Arson,,77,35,39,59,67,51,50,22,40,37,49
277,Eastern Suburbs,Randwick,Malicious damage to property,,1577,1621,1522,1673,1719,1629,1545,1367,1178,1197,1099
278,Eastern Suburbs,Randwick,Drug offences,Possession and/or use of cocaine,2,8,1,6,6,9,15,19,16,25,20
279,Eastern Suburbs,Randwick,Drug offences,Possession and/or use of narcotics,1,5,8,7,2,5,2,10,10,6,22
280,Eastern Suburbs,Randwick,Drug offences,Possession and/or use of cannabis,92,135,114,111,83,85,143,128,169,165,206
281,Eastern Suburbs,Randwick,Drug offences,Possession and/or use of amphetamines,8,19,18,21,19,30,28,28,46,75,61
282,Eastern Suburbs,Randwick,Drug offences,Possession and/or use of ecstasy,9,3,12,8,7,28,57,94,79,95,171
283,Eastern Suburbs,Randwick,Drug offences,Possession and/or use of other drugs,0,9,12,14,10,11,20,13,26,48,66
284,Eastern Suburbs,Randwick,Drug offences,"Dealing, trafficking in cocaine",2,3,1,1,0,4,8,6,12,3,10
285,Eastern Suburbs,Randwick,Drug offences,"Dealing, trafficking in narcotics",1,3,0,5,0,1,1,5,6,3,121
286,Eastern Suburbs,Randwick,Drug offences,"Dealing, trafficking in cannabis",3,6,8,8,2,4,2,4,7,3,3
287,Eastern Suburbs,Randwick,Drug offences,"Dealing, trafficking in amphetamines",2,4,8,4,9,3,4,5,6,3,4
288,Eastern Suburbs,Randwick,Drug offences,"Dealing, trafficking in ecstasy",4,1,13,10,6,4,15,15,10,7,11
289,Eastern Suburbs,Randwick,Drug offences,"Dealing, trafficking in other drugs",0,0,2,2,0,0,1,4,5,0,3
290,Eastern Suburbs,Randwick,Drug offences,Cultivating cannabis,9,9,5,5,4,3,4,8,6,6,5
291,Eastern Suburbs,Randwick,Drug offences,Manufacture drug,2,0,0,1,1,0,0,0,0,0,0
292,Eastern Suburbs,Randwick,Drug offences,Importing drugs,1,2,3,1,1,1,1,0,0,0,1
293,Eastern Suburbs,Randwick,Drug offences,Other drug offences,24,23,17,29,41,21,46,48,48,54,47
294,Eastern Suburbs,Randwick,Prohibited and regulated weapons offences,,71,89,76,88,80,62,70,76,86,79,92
295,Eastern Suburbs,Randwick,Disorderly conduct,Trespass,100,121,113,118,111,120,140,125,114,120,90
296,Eastern Suburbs,Randwick,Disorderly conduct,Offensive conduct,33,20,61,72,51,44,92,92,79,82,83
297,Eastern Suburbs,Randwick,Disorderly conduct,Offensive language,39,70,81,77,59,52,78,89,62,94,57
298,Eastern Suburbs,Randwick,Disorderly conduct,Criminal intent,48,27,32,22,17,20,14,17,34,26,189
299,Eastern Suburbs,Randwick,Betting and gaming offences,,0,3,1,0,3,0,1,0,3,0,1
300,Eastern Suburbs,Randwick,Liquor offences,,128,90,199,170,152,219,149,168,207,309,237
301,Eastern Suburbs,Randwick,Pornography offences,,2,0,2,2,0,0,1,1,5,6,3
302,Eastern Suburbs,Randwick,Prostitution offences,,0,0,1,1,0,0,0,0,0,0,0
303,Eastern Suburbs,Randwick,Against justice procedures,Escape custody,2,3,1,4,3,5,4,7,4,2,6
304,Eastern Suburbs,Randwick,Against justice procedures,Breach Apprehended Violence Order,148,178,148,157,126,174,153,173,158,137,151
305,Eastern Suburbs,Randwick,Against justice procedures,Breach bail conditions,74,182,342,324,909,766,861,1261,975,685,626
306,Eastern Suburbs,Randwick,Against justice procedures,Fail to appear,25,25,19,20,11,26,29,19,15,5,17
307,Eastern Suburbs,Randwick,Against justice procedures,Resist or hinder officer,96,108,122,112,101,93,86,136,87,95,69
308,Eastern Suburbs,Randwick,Against justice procedures,Other offences against justice procedures,29,10,10,13,20,10,62,11,5,12,5
309,Eastern Suburbs,Randwick,Transport regulatory offences,,19,39,27,35,156,65,71,131,48,44,44
310,Eastern Suburbs,Randwick,Other offences,,211,198,173,145,126,142,137,125,129,190,156
311,Eastern Suburbs,Waverley,Homicide,Murder (a),0,1,0,0,2,0,0,0,1,0,0
312,Eastern Suburbs,Waverley,Homicide,Attempted murder,0,0,0,0,0,2,0,0,0,0,0
313,Eastern Suburbs,Waverley,Homicide,"Murder accessory, conspiracy",0,0,0,0,0,0,0,0,0,0,0
314,Eastern Suburbs,Waverley,Homicide,Manslaughter (a),0,1,0,0,1,0,0,0,0,0,0
315,Eastern Suburbs,Waverley,Assault,Domestic violence related assault,165,161,134,142,141,171,157,140,144,134,112
316,Eastern Suburbs,Waverley,Assault,Non-domestic violence related assault,520,475,427,468,491,488,467,369,432,319,289
317,Eastern Suburbs,Waverley,Assault,Assault Police,35,18,28,21,29,22,34,25,32,43,25
318,Eastern Suburbs,Waverley,Sexual offences,Sexual assault,19,25,40,18,18,23,18,25,21,20,22
319,Eastern Suburbs,Waverley,Sexual offences,"Indecent assault, act of indecency and other sexual offences",40,55,63,51,73,80,46,73,44,61,49
320,Eastern Suburbs,Waverley,Abduction and kidnapping,,3,2,5,2,1,2,2,2,0,2,1
321,Eastern Suburbs,Waverley,Robbery,Robbery without a weapon,107,64,39,43,72,65,71,36,24,30,21
322,Eastern Suburbs,Waverley,Robbery,Robbery with a firearm,10,3,8,4,2,0,0,8,1,4,3
323,Eastern Suburbs,Waverley,Robbery,Robbery with a weapon not a firearm,42,30,23,28,24,17,20,6,6,7,7
324,Eastern Suburbs,Waverley,Blackmail and extortion,,1,1,0,0,0,0,0,2,2,1,0
325,Eastern Suburbs,Waverley,"Harassment, threatening behaviour and private nuisance",,180,181,171,159,194,171,166,156,168,138,127
326,Eastern Suburbs,Waverley,Other offences against the person,,14,11,18,17,19,20,25,9,10,9,10
327,Eastern Suburbs,Waverley,Theft,Break and enter dwelling,952,947,584,434,465,517,545,413,382,281,250
328,Eastern Suburbs,Waverley,Theft,Break and enter non-dwelling,272,243,197,141,166,130,95,109,67,62,76
329,Eastern Suburbs,Waverley,Theft,Receiving or handling stolen goods,145,98,113,107,112,77,102,79,69,79,111
330,Eastern Suburbs,Waverley,Theft,Motor vehicle theft,565,377,433,353,382,352,292,203,215,182,162
331,Eastern Suburbs,Waverley,Theft,Steal from motor vehicle,814,583,764,525,560,499,466,402,383,404,275
332,Eastern Suburbs,Waverley,Theft,Steal from retail store,347,255,295,554,606,511,616,425,388,365,524
333,Eastern Suburbs,Waverley,Theft,Steal from dwelling,407,390,309,235,268,206,212,236,217,242,225
334,Eastern Suburbs,Waverley,Theft,Steal from person,424,349,284,369,355,317,319,304,202,154,130
335,Eastern Suburbs,Waverley,Theft,Stock theft,1,0,0,1,0,0,0,0,0,1,2
336,Eastern Suburbs,Waverley,Theft,Fraud,515,400,592,704,657,742,833,736,667,532,669
337,Eastern Suburbs,Waverley,Theft,Other theft,1211,999,986,920,842,768,718,691,644,596,647
338,Eastern Suburbs,Waverley,Arson,,25,11,12,16,11,13,27,19,24,13,9
339,Eastern Suburbs,Waverley,Malicious damage to property,,850,690,793,836,1048,870,905,721,751,639,653
340,Eastern Suburbs,Waverley,Drug offences,Possession and/or use of cocaine,4,3,12,10,17,5,12,17,35,28,32
341,Eastern Suburbs,Waverley,Drug offences,Possession and/or use of narcotics,3,2,0,19,9,4,6,4,2,9,5
342,Eastern Suburbs,Waverley,Drug offences,Possession and/or use of cannabis,114,101,106,123,91,114,157,262,352,438,416
343,Eastern Suburbs,Waverley,Drug offences,Possession and/or use of amphetamines,8,16,12,28,16,8,12,7,22,21,33
344,Eastern Suburbs,Waverley,Drug offences,Possession and/or use of ecstasy,17,15,10,17,13,11,7,13,13,12,30
345,Eastern Suburbs,Waverley,Drug offences,Possession and/or use of other drugs,9,5,9,8,9,5,7,14,35,41,37
346,Eastern Suburbs,Waverley,Drug offences,"Dealing, trafficking in cocaine",2,3,11,5,5,2,8,2,7,16,20
347,Eastern Suburbs,Waverley,Drug offences,"Dealing, trafficking in narcotics",0,2,0,3,2,0,2,0,0,1,9
348,Eastern Suburbs,Waverley,Drug offences,"Dealing, trafficking in cannabis",7,13,6,12,1,2,3,7,4,10,7
349,Eastern Suburbs,Waverley,Drug offences,"Dealing, trafficking in amphetamines",3,6,2,9,9,1,4,4,3,3,4
350,Eastern Suburbs,Waverley,Drug offences,"Dealing, trafficking in ecstasy",13,6,8,10,8,6,2,2,2,7,11
351,Eastern Suburbs,Waverley,Drug offences,"Dealing, trafficking in other drugs",2,0,2,0,0,0,0,1,0,2,1
352,Eastern Suburbs,Waverley,Drug offences,Cultivating cannabis,4,3,3,6,4,2,1,3,0,2,2
353,Eastern Suburbs,Waverley,Drug offences,Manufacture drug,1,0,0,0,0,0,0,0,0,0,0
354,Eastern Suburbs,Waverley,Drug offences,Importing drugs,0,1,0,3,0,0,0,0,1,0,0
355,Eastern Suburbs,Waverley,Drug offences,Other drug offences,19,17,16,21,25,27,29,45,29,29,37
356,Eastern Suburbs,Waverley,Prohibited and regulated weapons offences,,77,52,74,64,63,64,70,62,73,54,50
357,Eastern Suburbs,Waverley,Disorderly conduct,Trespass,55,35,53,33,67,63,87,45,65,89,99
358,Eastern Suburbs,Waverley,Disorderly conduct,Offensive conduct,46,46,23,51,60,42,76,70,96,102,126
359,Eastern Suburbs,Waverley,Disorderly conduct,Offensive language,26,30,28,56,49,38,49,58,59,57,40
360,Eastern Suburbs,Waverley,Disorderly conduct,Criminal intent,20,13,10,9,25,9,15,14,4,6,8
361,Eastern Suburbs,Waverley,Betting and gaming offences,,0,0,1,0,1,0,0,6,0,0,1
362,Eastern Suburbs,Waverley,Liquor offences,,374,208,86,279,138,197,133,204,328,394,272
363,Eastern Suburbs,Waverley,Pornography offences,,0,3,4,1,3,0,2,2,2,3,5
364,Eastern Suburbs,Waverley,Prostitution offences,,0,0,0,0,0,0,0,0,0,0,0
365,Eastern Suburbs,Waverley,Against justice procedures,Escape custody,0,3,1,1,2,0,1,1,2,1,0
366,Eastern Suburbs,Waverley,Against justice procedures,Breach Apprehended Violence Order,73,83,60,49,52,56,45,65,49,47,43
367,Eastern Suburbs,Waverley,Against justice procedures,Breach bail conditions,42,61,78,101,147,186,203,135,219,216,208
368,Eastern Suburbs,Waverley,Against justice procedures,Fail to appear,17,12,3,2,1,4,0,2,7,5,2
369,Eastern Suburbs,Waverley,Against justice procedures,Resist or hinder officer,53,41,50,53,64,52,68,76,89,85,80
370,Eastern Suburbs,Waverley,Against justice procedures,Other offences against justice procedures,12,3,1,6,2,3,2,2,7,0,3
371,Eastern Suburbs,Waverley,Transport regulatory offences,,60,53,72,81,56,106,156,156,191,196,129
372,Eastern Suburbs,Waverley,Other offences,,212,162,150,162,130,121,120,84,95,97,99
373,Eastern Suburbs,Woollahra,Homicide,Murder (a),0,0,1,1,2,1,0,0,0,0,0
374,Eastern Suburbs,Woollahra,Homicide,Attempted murder,0,0,1,0,0,0,0,0,0,2,0
375,Eastern Suburbs,Woollahra,Homicide,"Murder accessory, conspiracy",0,0,0,0,0,0,0,0,0,0,0
376,Eastern Suburbs,Woollahra,Homicide,Manslaughter (a),0,0,0,0,0,0,0,0,0,0,0
377,Eastern Suburbs,Woollahra,Assault,Domestic violence related assault,78,55,74,67,74,70,87,79,83,68,77
378,Eastern Suburbs,Woollahra,Assault,Non-domestic violence related assault,251,246,183,211,191,188,236,164,182,150,155
379,Eastern Suburbs,Woollahra,Assault,Assault Police,10,11,10,12,5,7,11,13,12,6,3
380,Eastern Suburbs,Woollahra,Sexual offences,Sexual assault,25,15,13,22,10,17,12,14,13,15,18
381,Eastern Suburbs,Woollahra,Sexual offences,"Indecent assault, act of indecency and other sexual offences",21,24,40,30,30,20,27,22,38,25,23
382,Eastern Suburbs,Woollahra,Abduction and kidnapping,,1,0,1,2,0,5,3,2,0,4,0
383,Eastern Suburbs,Woollahra,Robbery,Robbery without a weapon,39,46,33,34,33,42,27,24,14,16,16
384,Eastern Suburbs,Woollahra,Robbery,Robbery with a firearm,4,10,7,3,8,9,4,5,2,1,1
385,Eastern Suburbs,Woollahra,Robbery,Robbery with a weapon not a firearm,24,30,29,24,33,19,22,10,5,8,7
386,Eastern Suburbs,Woollahra,Blackmail and extortion,,0,0,0,0,2,1,1,1,0,0,1
387,Eastern Suburbs,Woollahra,"Harassment, threatening behaviour and private nuisance",,112,103,121,110,122,106,103,117,92,69,86
388,Eastern Suburbs,Woollahra,Other offences against the person,,2,9,8,9,8,10,7,7,7,5,5
389,Eastern Suburbs,Woollahra,Theft,Break and enter dwelling,1162,870,580,503,394,465,477,411,251,252,319
390,Eastern Suburbs,Woollahra,Theft,Break and enter non-dwelling,294,203,177,160,160,137,88,102,36,90,69
391,Eastern Suburbs,Woollahra,Theft,Receiving or handling stolen goods,72,67,48,33,22,18,41,40,38,38,53
392,Eastern Suburbs,Woollahra,Theft,Motor vehicle theft,565,344,380,248,290,239,211,126,109,124,117
393,Eastern Suburbs,Woollahra,Theft,Steal from motor vehicle,1104,788,779,511,650,588,589,310,334,300,288
394,Eastern Suburbs,Woollahra,Theft,Steal from retail store,146,124,132,119,102,108,118,107,108,77,78
395,Eastern Suburbs,Woollahra,Theft,Steal from dwelling,411,349,252,202,215,224,184,191,170,176,240
396,Eastern Suburbs,Woollahra,Theft,Steal from person,255,272,166,130,148,117,144,131,112,97,66
397,Eastern Suburbs,Woollahra,Theft,Stock theft,2,0,0,0,0,0,1,1,1,0,0
398,Eastern Suburbs,Woollahra,Theft,Fraud,286,271,254,302,315,299,407,371,338,259,358
399,Eastern Suburbs,Woollahra,Theft,Other theft,674,624,404,391,367,459,333,357,278,267,299
400,Eastern Suburbs,Woollahra,Arson,,15,14,12,9,12,10,34,18,7,5,9
401,Eastern Suburbs,Woollahra,Malicious damage to property,,833,484,522,725,745,658,615,518,445,421,458
402,Eastern Suburbs,Woollahra,Drug offences,Possession and/or use of cocaine,8,8,0,8,11,11,16,35,22,43,50
403,Eastern Suburbs,Woollahra,Drug offences,Possession and/or use of narcotics,2,2,3,6,6,0,4,1,1,2,2
404,Eastern Suburbs,Woollahra,Drug offences,Possession and/or use of cannabis,32,28,22,27,31,61,63,79,86,130,111
405,Eastern Suburbs,Woollahra,Drug offences,Possession and/or use of amphetamines,10,8,3,8,8,16,18,12,19,18,29
406,Eastern Suburbs,Woollahra,Drug offences,Possession and/or use of ecstasy,6,6,4,6,7,12,15,16,21,11,15
407,Eastern Suburbs,Woollahra,Drug offences,Possession and/or use of other drugs,1,1,3,6,4,7,14,16,15,18,17
408,Eastern Suburbs,Woollahra,Drug offences,"Dealing, trafficking in cocaine",5,2,5,7,8,5,12,16,4,1,15
409,Eastern Suburbs,Woollahra,Drug offences,"Dealing, trafficking in narcotics",1,1,1,1,3,1,1,4,0,1,0
410,Eastern Suburbs,Woollahra,Drug offences,"Dealing, trafficking in cannabis",0,0,0,0,0,0,3,4,2,3,4
411,Eastern Suburbs,Woollahra,Drug offences,"Dealing, trafficking in amphetamines",3,4,4,2,5,2,2,2,5,3,4
412,Eastern Suburbs,Woollahra,Drug offences,"Dealing, trafficking in ecstasy",1,2,0,2,2,9,7,1,3,2,3
413,Eastern Suburbs,Woollahra,Drug offences,"Dealing, trafficking in other drugs",4,1,0,0,1,0,3,4,1,3,5
414,Eastern Suburbs,Woollahra,Drug offences,Cultivating cannabis,0,0,0,0,0,0,0,1,0,1,0
415,Eastern Suburbs,Woollahra,Drug offences,Manufacture drug,0,0,0,0,0,0,0,0,0,0,0
416,Eastern Suburbs,Woollahra,Drug offences,Importing drugs,0,0,0,1,0,1,0,1,0,0,0
417,Eastern Suburbs,Woollahra,Drug offences,Other drug offences,3,9,9,20,16,10,10,34,17,37,33
418,Eastern Suburbs,Woollahra,Prohibited and regulated weapons offences,,28,21,40,21,26,19,24,34,28,33,49
419,Eastern Suburbs,Woollahra,Disorderly conduct,Trespass,40,24,21,52,56,52,48,62,50,43,69
420,Eastern Suburbs,Woollahra,Disorderly conduct,Offensive conduct,4,10,6,19,21,15,34,40,54,31,31
421,Eastern Suburbs,Woollahra,Disorderly conduct,Offensive language,7,1,8,21,16,15,22,16,19,5,11
422,Eastern Suburbs,Woollahra,Disorderly conduct,Criminal intent,32,17,11,11,9,7,14,9,19,9,14
423,Eastern Suburbs,Woollahra,Betting and gaming offences,,0,3,18,2,5,0,9,0,1,0,1
424,Eastern Suburbs,Woollahra,Liquor offences,,111,82,74,226,64,105,241,158,188,123,124
425,Eastern Suburbs,Woollahra,Pornography offences,,0,0,1,5,0,0,0,0,0,1,0
426,Eastern Suburbs,Woollahra,Prostitution offences,,0,0,0,2,0,0,0,0,1,0,0
427,Eastern Suburbs,Woollahra,Against justice procedures,Escape custody,0,0,0,0,0,1,0,1,1,0,0
428,Eastern Suburbs,Woollahra,Against justice procedures,Breach Apprehended Violence Order,23,36,17,25,21,24,33,30,27,26,31
429,Eastern Suburbs,Woollahra,Against justice procedures,Breach bail conditions,12,18,26,29,52,58,83,47,65,59,52
430,Eastern Suburbs,Woollahra,Against justice procedures,Fail to appear,11,4,2,0,4,2,7,5,11,3,5
431,Eastern Suburbs,Woollahra,Against justice procedures,Resist or hinder officer,22,21,16,20,21,20,31,32,38,21,21
432,Eastern Suburbs,Woollahra,Against justice procedures,Other offences against justice procedures,7,1,3,1,3,2,3,3,2,1,1
433,Eastern Suburbs,Woollahra,Transport regulatory offences,,2,11,21,6,32,30,29,63,73,51,20
434,Eastern Suburbs,Woollahra,Other offences,,134,105,175,223,167,132,172,170,153,150,175
435,St George-Sutherland,Hurstville,Homicide,Murder (a),0,3,1,1,2,0,0,0,1,1,1
436,St George-Sutherland,Hurstville,Homicide,Attempted murder,0,2,0,0,0,0,0,0,0,0,0
437,St George-Sutherland,Hurstville,Homicide,"Murder accessory, conspiracy",0,0,0,0,0,0,0,0,0,0,0
438,St George-Sutherland,Hurstville,Homicide,Manslaughter (a),0,0,0,0,0,0,0,0,0,0,0
439,St George-Sutherland,Hurstville,Assault,Domestic violence related assault,160,185,255,238,254,241,184,205,227,233,216
440,St George-Sutherland,Hurstville,Assault,Non-domestic violence related assault,279,286,309,306,317,329,306,264,284,260,257
441,St George-Sutherland,Hurstville,Assault,Assault Police,13,16,15,17,10,20,11,18,20,18,17
442,St George-Sutherland,Hurstville,Sexual offences,Sexual assault,25,26,32,18,25,17,22,33,29,17,34
443,St George-Sutherland,Hurstville,Sexual offences,"Indecent assault, act of indecency and other sexual offences",53,62,44,46,43,50,33,40,48,42,38
444,St George-Sutherland,Hurstville,Abduction and kidnapping,,4,3,7,2,11,7,4,5,0,3,0
445,St George-Sutherland,Hurstville,Robbery,Robbery without a weapon,94,111,103,94,94,105,120,76,76,41,38
446,St George-Sutherland,Hurstville,Robbery,Robbery with a firearm,5,13,14,11,10,9,4,5,5,10,1
447,St George-Sutherland,Hurstville,Robbery,Robbery with a weapon not a firearm,75,51,37,57,50,49,26,36,21,17,13
448,St George-Sutherland,Hurstville,Blackmail and extortion,,3,4,3,3,0,3,2,17,14,0,2
449,St George-Sutherland,Hurstville,"Harassment, threatening behaviour and private nuisance",,125,148,175,224,218,251,266,255,285,238,226
450,St George-Sutherland,Hurstville,Other offences against the person,,6,9,11,3,8,7,15,8,13,9,7
451,St George-Sutherland,Hurstville,Theft,Break and enter dwelling,613,765,502,350,355,384,332,293,310,318,313
452,St George-Sutherland,Hurstville,Theft,Break and enter non-dwelling,326,271,208,236,173,131,176,133,137,138,85
453,St George-Sutherland,Hurstville,Theft,Receiving or handling stolen goods,123,86,62,60,43,43,62,57,54,67,52
454,St George-Sutherland,Hurstville,Theft,Motor vehicle theft,556,464,412,356,286,257,262,216,238,170,182
